event_key,event_name,season,region,event_type,date,team1,team2,score1,score2,winner,stage,match_id,url
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,6:00 PM,Natus Vincere,Karmine Corp,2,0,Natus Vincere,Upper Round 1,594740,https://www.vlr.gg/594740/natus-vincere-vs-karmine-corp-vct-2026-emea-kickoff-ur1
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,8:35 PM,FUT Esports,Gentle Mates,0,2,Gentle Mates,Upper Round 1,594741,https://www.vlr.gg/594741/fut-esports-vs-gentle-mates-vct-2026-emea-kickoff-ur1
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,6:00 PM,PCIFIC Esports,BBL Esports,1,2,BBL Esports,Upper Round 1,594742,https://www.vlr.gg/594742/pcific-esports-vs-bbl-esports-vct-2026-emea-kickoff-ur1
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,9:20 PM,ULF Esports,Team Vitality,0,2,Team Vitality,Upper Round 1,594743,https://www.vlr.gg/594743/ulf-esports-vs-team-vitality-vct-2026-emea-kickoff-ur1
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,6:00 PM,Team Heretics,Natus Vincere,1,2,Natus Vincere,Upper Round 2,594744,https://www.vlr.gg/594744/team-heretics-vs-natus-vincere-vct-2026-emea-kickoff-ur2
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,9:30 PM,GIANTX,Gentle Mates,0,2,Gentle Mates,Upper Round 2,594745,https://www.vlr.gg/594745/giantx-vs-gentle-mates-vct-2026-emea-kickoff-ur2
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,6:00 PM,FNATIC,BBL Esports,0,2,BBL Esports,Upper Round 2,594746,https://www.vlr.gg/594746/fnatic-vs-bbl-esports-vct-2026-emea-kickoff-ur2
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,8:25 PM,Team Liquid,Team Vitality,1,2,Team Vitality,Upper Round 2,594747,https://www.vlr.gg/594747/team-liquid-vs-team-vitality-vct-2026-emea-kickoff-ur2
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,6:00 PM,Karmine Corp,Team Liquid,1,2,Team Liquid,Middle Round 1,594751,https://www.vlr.gg/594751/karmine-corp-vs-team-liquid-vct-2026-emea-kickoff-mr1
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,9:20 PM,FUT Esports,FNATIC,1,2,FNATIC,Middle Round 1,594752,https://www.vlr.gg/594752/fut-esports-vs-fnatic-vct-2026-emea-kickoff-mr1
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,6:00 PM,PCIFIC Esports,GIANTX,1,2,GIANTX,Middle Round 1,594753,https://www.vlr.gg/594753/pcific-esports-vs-giantx-vct-2026-emea-kickoff-mr1
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,9:35 PM,ULF Esports,Team Heretics,0,2,Team Heretics,Middle Round 1,594754,https://www.vlr.gg/594754/ulf-esports-vs-team-heretics-vct-2026-emea-kickoff-mr1
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,6:00 PM,Natus Vincere,Gentle Mates,0,2,Gentle Mates,Upper Round 3,594748,https://www.vlr.gg/594748/natus-vincere-vs-gentle-mates-vct-2026-emea-kickoff-ur3
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,8:20 PM,BBL Esports,Team Vitality,2,0,BBL Esports,Upper Round 3,594749,https://www.vlr.gg/594749/bbl-esports-vs-team-vitality-vct-2026-emea-kickoff-ur3
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,6:00 PM,Team Liquid,FNATIC,0,2,FNATIC,Middle Round 2,594755,https://www.vlr.gg/594755/team-liquid-vs-fnatic-vct-2026-emea-kickoff-mr2
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,8:20 PM,GIANTX,Team Heretics,2,0,GIANTX,Middle Round 2,594756,https://www.vlr.gg/594756/giantx-vs-team-heretics-vct-2026-emea-kickoff-mr2
