event_key,event_name,season,region,event_type,player,team,role,agents,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,headshot_pct,clutch_pct
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,hiro,NAVI,,,261,1.30,235.7,1.44,74%,158.8,0.87,0.23,0.09,0.08,31%,29%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,marteen,M8,,,370,1.27,251.7,1.38,76%,160.5,0.91,0.25,0.18,0.11,31%,14%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,lovers rock,BBL,,,262,1.18,251.1,1.31,75%,153.9,0.89,0.19,0.19,0.10,23%,14%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Alfajer,FNC,,,474,1.17,236.5,1.22,75%,160.7,0.84,0.17,0.16,0.09,34%,15%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Minny,M8,,,370,1.15,213.3,1.22,75%,140.8,0.79,0.22,0.10,0.08,40%,16%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,seven,PCF,,,169,1.13,214.6,1.04,67%,141.7,0.75,0.36,0.14,0.11,30%,14%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Chronicle,VIT,,,280,1.12,216.6,1.22,71%,141.8,0.76,0.19,0.11,0.09,27%,5%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Derke,VIT,,,280,1.11,240.6,1.14,71%,155.4,0.82,0.24,0.18,0.14,26%,5%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Loita,BBL,,,262,1.11,189.7,1.13,73%,129.1,0.68,0.37,0.06,0.09,39%,28%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Veqaj,FNC,,,474,1.10,223.0,1.11,71%,145.0,0.76,0.39,0.10,0.10,33%,11%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,dos9,KC,,,230,1.10,203.1,1.13,80%,127.9,0.72,0.40,0.05,0.10,33%,16%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,MiniBoo,TL,,,477,1.09,232.7,1.13,74%,150.2,0.81,0.22,0.18,0.16,32%,19%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Ruxic,NAVI,,,261,1.08,208.8,1.13,69%,138.8,0.74,0.21,0.12,0.12,23%,4%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Lar0k,BBL,,,262,1.07,228.7,1.12,71%,146.4,0.81,0.23,0.16,0.14,32%,21%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,al0rante,PCF,,,169,1.07,226.8,1.06,69%,148.2,0.82,0.21,0.06,0.09,45%,4%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,nAts,TL,,,477,1.06,210.3,1.12,72%,144.8,0.74,0.21,0.08,0.10,27%,15%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,wayne,TL,,,405,1.06,190.6,1.06,79%,124.7,0.69,0.39,0.05,0.06,34%,14%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,benjyfishy,TH,,,285,1.04,203.8,1.06,66%,133.8,0.75,0.23,0.12,0.09,38%,17%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,crashies,FNC,,,474,1.03,192.6,1.06,72%,126.4,0.69,0.24,0.05,0.05,32%,11%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,SUYGETSU,KC,,,230,1.02,196.1,1.07,70%,133.2,0.70,0.24,0.09,0.08,36%,17%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Kicks,TL,,,72,1.02,165.0,0.98,69%,114.5,0.57,0.40,0.07,0.03,26%,22%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Flickless,GX,,,262,1.00,188.8,0.96,69%,120.1,0.67,0.40,0.09,0.06,27%,24%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,LewN,KC,,,230,1.00,222.5,1.05,71%,134.8,0.77,0.16,0.19,0.17,34%,13%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,kamo,TL,,,477,0.99,201.3,1.01,73%,132.1,0.71,0.26,0.10,0.12,36%,21%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,ComeBack,TH,,,285,0.99,215.8,0.98,68%,138.4,0.75,0.19,0.18,0.14,32%,6%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,audaz,ULF,,,175,0.98,184.9,0.88,73%,119.1,0.65,0.31,0.08,0.06,43%,7%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,xeus,FUT,,,187,0.98,204.1,1.01,68%,133.2,0.76,0.13,0.18,0.16,41%,13%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Cloud,GX,,,262,0.97,198.0,0.97,74%,140.1,0.70,0.28,0.06,0.08,26%,16%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,MrFaliN,FUT,,,187,0.97,173.6,0.90,65%,116.6,0.63,0.33,0.07,0.10,33%,13%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Boo,TH,,,285,0.97,163.9,0.90,77%,105.9,0.59,0.42,0.06,0.05,32%,7%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,RieNs,TH,,,285,0.97,197.2,0.99,69%,133.9,0.72,0.23,0.09,0.06,37%,24%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,bipo,M8,,,370,0.97,202.8,1.05,69%,132.6,0.73,0.19,0.11,0.15,26%,15%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Jamppi,VIT,,,280,0.96,204.0,1.02,67%,130.0,0.73,0.19,0.11,0.12,32%,29%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,PROFEK,VIT,,,280,0.96,174.4,1.01,74%,113.3,0.63,0.29,0.06,0.06,29%,25%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Avez,KC,,,230,0.96,205.3,0.95,70%,133.4,0.70,0.32,0.10,0.13,26%,8%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,purp0,TL,,,477,0.96,167.5,0.97,73%,110.5,0.61,0.23,0.08,0.07,44%,13%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Wo0t,TH,,,285,0.96,189.0,0.94,76%,126.1,0.65,0.29,0.12,0.09,31%,15%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,kaajak,FNC,,,474,0.95,202.7,1.03,65%,129.5,0.73,0.15,0.17,0.17,32%,12%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,westside,GX,,,262,0.94,185.7,0.96,67%,129.5,0.69,0.14,0.12,0.10,37%,19%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,starxo,M8,,,370,0.94,180.8,0.93,69%,120.6,0.62,0.27,0.07,0.06,25%,25%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,grubinho,GX,,,262,0.92,174.3,0.88,69%,112.6,0.61,0.35,0.08,0.08,29%,15%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,GLYPH,M8,,,370,0.91,159.6,0.89,73%,101.7,0.56,0.36,0.07,0.06,22%,10%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,nekky,ULF,,,175,0.90,189.7,0.88,67%,130.8,0.66,0.23,0.06,0.06,27%,24%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,ara,GX,,,262,0.90,183.8,0.93,68%,118.4,0.66,0.16,0.16,0.17,30%,29%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,yetujey,FUT,,,187,0.89,174.3,0.83,68%,119.2,0.58,0.21,0.07,0.12,28%,11%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,NINJA,PCF,,,169,0.89,181.3,0.87,68%,121.6,0.64,0.26,0.06,0.09,26%,9%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Rosé,BBL,,,262,0.88,169.9,0.89,71%,120.1,0.60,0.23,0.05,0.05,25%,24%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,qpert,PCF,,,169,0.86,142.4,0.73,70%,95.3,0.49,0.30,0.05,0.09,31%,15%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,sheydos,KC,,,230,0.86,156.9,0.83,73%,101.7,0.55,0.27,0.04,0.05,30%,14%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Favian,ULF,,,175,0.85,190.8,0.83,67%,125.1,0.69,0.26,0.10,0.11,32%,18%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,KROSTALY,FUT,,,187,0.85,173.8,0.84,70%,113.9,0.63,0.17,0.07,0.08,31%,10%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,sociablEE,NAVI,,,261,0.85,171.7,0.85,69%,112.0,0.61,0.29,0.05,0.11,25%,
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Crewen,BBL,,,262,0.84,167.5,0.88,67%,108.6,0.62,0.20,0.06,0.10,34%,9%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Filu,NAVI,,,261,0.84,194.1,0.90,67%,132.7,0.68,0.14,0.13,0.15,28%,14%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,UNFAKE,VIT,,,280,0.83,149.1,0.77,69%,104.8,0.51,0.24,0.05,0.07,32%,8%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,d3mur,ULF,,,175,0.80,181.1,0.87,63%,114.8,0.64,0.13,0.11,0.22,26%,36%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,cNed,PCF,,,169,0.78,160.5,0.75,66%,102.8,0.58,0.19,0.13,0.18,27%,7%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Shao,NAVI,,,261,0.78,149.7,0.71,67%,101.5,0.51,0.28,0.08,0.08,36%,10%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,Boaster,FNC,,,474,0.77,134.2,0.70,68%,88.7,0.47,0.34,0.04,0.08,28%,10%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,sturNN,ULF,,,175,0.72,162.2,0.75,64%,99.0,0.59,0.17,0.07,0.12,25%,8%
kickoff_emea_2026,VCT 2026: EMEA Kickoff,2026,emea,kickoff,baha,FUT,,,187,0.68,158.8,0.69,58%,103.6,0.55,0.18,0.05,0.09,30%,18%
kickoff_americas_2026,VCT 2026: Americas Kickoff,2026,americas,kickoff,johnqt,SEN,,,190,1.28,216.3,1.39,79%,141.9,0.79,0.30,0.04,0.03,31%,23%
